,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr)
2024-06-10,23583.96923243903,23636.580353994777,23028.67218239322,23241.59806905711,592809806.2616034,61868.46691276557
2024-06-11,23365.269614017805,23545.5228441585,22708.48845214073,23084.594738858388,683333042.4222143,69083.27042713162
2024-06-12,23141.167865105395,23444.015735352077,22713.521310434946,23170.891720672465,588001157.2968102,59465.50847082613
2024-06-13,23199.19872504785,23396.83204558468,22805.360259236626,23102.14470933615,566170587.8845615,55141.40634716833
2024-06-14,23203.892944961546,23439.46662904456,23016.772432160527,23270.72514596612,425559433.33882284,42636.953736985844
2024-06-15,23383.674264944675,23545.264459275622,23029.640708515337,23265.45757789645,520602748.36840844,52776.879306234434
2024-06-16,23378.45962250469,23575.40710306514,22921.82399749241,23244.69219258888,576393961.7527765,58935.36392762132
2024-06-17,23364.92827781461,23549.03626521305,22883.707863876676,23211.203267179655,591859023.8944772,59428.86457108859
2024-06-18,23329.892075008796,23567.01188085961,22922.108094820105,23277.909089630906,573502705.9307733,57589.70584376861
2024-06-19,23359.336351007238,23571.2480330407,22978.052246748204,23284.42470064413,534963010.1280556,53173.185478894164
2024-06-20,23370.88812254787,23586.428925884356,23025.509257769158,23326.389289261348,526088360.69666475,53115.213841917815
2024-06-21,23436.734555370622,23625.99460493112,23051.220132562295,23337.414988826844,545973225.1234093,55181.24205509608
2024-06-22,23456.736099549744,23663.298751691764,23037.263653337875,23355.370234972506,564215223.2981429,57053.94168882996
2024-06-23,23463.021364145294,23669.50066952139,23026.15351736154,23353.559534855212,573804625.3754809,57663.465441918874
2024-06-24,23459.831003838106,23674.892438032686,23047.467568434637,23376.020157525374,562170508.0161352,56520.54507994386
2024-06-25,23476.156629972014,23688.521122881088,23082.165405631127,23398.007224741486,553997945.6104231,55683.67023373348
2024-06-26,23500.18975701392,23714.17622251956,23112.662215652992,23426.354428597035,551219597.4375196,55565.41915649763
2024-06-27,23532.890118900254,23738.50169152712,23126.219265615087,23438.089700350632,559178106.3984671,56360.04571822226
2024-06-28,23550.46162578635,23759.829039054508,23133.600228829513,23454.88782308528,565913730.069947,57094.48499892262
2024-06-29,23565.32547255025,23776.25146377506,23142.920684583907,23468.13550683078,569391473.582907,57349.08235994452
2024-06-30,23574.507480378685,23790.44290317452,23159.32238814826,23487.088173243243,567145685.9901714,57112.323291862434
2024-07-01,23592.11837651182,23806.31965149668,23182.987583359773,23505.9540076986,564149591.7952219,56803.16125795548
2024-07-02,23613.8090977123,23827.834654176066,23205.40248615514,23527.355355929878,564134827.9384407,56870.48516475231
2024-07-03,23636.761164140808,23849.39879654585,23220.886058724165,23543.90520526921,567834123.9636667,57252.723397335576
2024-07-04,23654.385259055995,23868.523779141688,23233.09227165305,23560.264610636452,571338009.815868,57616.186406543275
2024-07-05,23670.40026256974,23885.51481312506,23247.204644303718,23576.324111059505,573152316.1746793,57773.162729513206
2024-07-06,23685.87248292761,23902.901358545565,23265.005361553693,23595.078649329702,572703171.9104334,57726.92273563424
2024-07-07,23704.165956700355,23921.157865493165,23284.167873639075,23613.452899516353,572537981.6292256,57712.58227020342
2024-07-08,23723.47344384292,23940.5243080662,23302.416646320315,23631.97821607708,573439450.9936569,57829.87579241246
2024-07-09,23743.08268010389,23960.023280629,23318.685172338817,23649.32334864859,575569319.0031549,58055.33946538306
